Symbol,Name,Exchange,Sector,Market Cap
GNRC,Generac Holdings Inc,NYSE,Computers and Technology,6685324000
PDCE,Pdc Energy Inc,NASDAQ,Oils-Energy,6848216000
PL,Planet Labs Pbc,NYSE,Computers and Technology,1460035000
PNW,Pinnacle West Capital Corp,NYSE,Utilities,8861124000
TAC,Transalta Corp,NYSE,Utilities,2523453000
SE,Sea Ltd ADR,NYSE,Computers and Technology,32555164000
AMRS,Amyris Inc,NASDAQ,Basic Materials,563248000
SAR,Saratoga Investment Corp,NYSE,Finance,313803000
BRMK,Broadmark Realty Capital Inc,NYSE,Finance,540993000
SNAP,Snap Inc,NYSE,Computers and Technology,16631071000
ROCC,Ranger Oil Corp,NASDAQ,Oils-Energy,1815561000
NYT,New York Times Company,NYSE,Consumer Staples,6062570000
GLPG,Galapagos NV ADR,NASDAQ,Medical,2618297000
SCWO,374Water Inc,NASDAQ,Business Services,392711000
FDX,Fedex Corp,NYSE,Transportation,47417288000
SD,Sandridge Energy Inc,NYSE,Oils-Energy,752107000
LCID,Lucid Group Inc,NASDAQ,Auto-Tires-Trucks,17039572000
USNA,Usana Health Sciences Inc,NYSE,Medical,1057098000
SCL,Stepan Company,NYSE,Basic Materials,2479978000
GIL,Gildan Activewear,NYSE,Consumer Staples,5186073000
MTH,Meritage Corp,NYSE,Construction,3160100000
ARE,Alexandria Real Estate Equities,NYSE,Finance,25533580000
CPG,Crescent Pt Energy,NYSE,Oils-Energy,4321192000
GBLI,Global Indemnity Plc,NYSE,Finance,344938000
CLB,Core Laboratories N.V.,NYSE,Oils-Energy,1005323000
TS,Tenaris S.A. ADR,NYSE,Basic Materials,20346538000
EVO,Evotec Se,NASDAQ,Medical,3093130000
TDC,Teradata Corp,NYSE,Computers and Technology,3476470000
IAUX,I-80 Gold Corp,NYSE Arca,Basic Materials,682648000
TILE,Interface Inc,NASDAQ,Consumer Discretionary,629981000
CVI,Cvr Energy Inc,NYSE,Oils-Energy,3704530000
AMPH,Amphastar Pharma,NASDAQ,Medical,1425281000
NABL,N-Able Inc,NYSE,Business Services,2029093000
ASTE,Astec Inds Inc,NASDAQ,Industrial Products,1004779000
RMR,The Rmr Grp A,NASDAQ,Finance,913729000
ALC,Alcon Inc,NYSE,Medical,33762092000
POWL,Powell Inds Inc,NASDAQ,Industrial Products,310102000
CENT,Central Garden,NASDAQ,Consumer Discretionary,2232135000
PCT,Purecycle Technologies Inc,NASDAQ,Business Services,1134732000
IQ,Iqiyi Inc ADR,NASDAQ,Consumer Discretionary,2375472000
WISH,Contextlogic Inc Cl A,NASDAQ,Retail-Wholesale,496715000
CPF,Central Pacific Financial Company,NYSE,Finance,576961000
AMRN,Amarin Corp ADR,NASDAQ,Medical,464403000
OFG,Ofg Bancorp,NYSE,Finance,1377900000
HP,Helmerich & Payne,NYSE,Oils-Energy,5383525000
FORTY,Formula Sys [1985] ADR,NASDAQ,Computers and Technology,1260684000
OIS,Oil States International,NYSE,Oils-Energy,431339000
TRTN,Triton International Ltd,NYSE,Transportation,3968518000
MPX,Marine Products Corp,NYSE,Consumer Discretionary,398640000
CSTM,Constellium N.V.,NYSE,Basic Materials,1763879000
CRUS,Cirrus Logic Inc,NASDAQ,Computers and Technology,4113607000
BBY,Best Buy Company,NYSE,Retail-Wholesale,19203676000
SB,Safe Bulkers Inc,NYSE,Transportation,346677000
IFF,International Flavors & Fragrances,NYSE,Consumer Staples,26980080000
MSGE,Madison Square Garden Entertainment Corp,NYSE,Consumer Discretionary,1648062000
RIG,Transocean Inc,NYSE,Oils-Energy,3068024000
BAM,Brookfield Asset Management Inc,NYSE,Finance,76371872000
GPRK,Geopark Hlds Lmtd,NYSE,Oils-Energy,866825000
ZIM,Zim Integrated Shipping Services Ltd,NYSE,Transportation,2521286000
SNX,Synnex Corp,NYSE,Computers and Technology,9774766000
ADV,Advantage Solutions Inc,NASDAQ,Business Services,792816000
GWRS,Global Water Reso,NASDAQ,Utilities,305007000
VNET,Vnet Group Inc,NASDAQ,Computers and Technology,729817000
CNSL,Consolidated Communications Holdings Inc,NASDAQ,Utilities,533130000
ASAN,Asana Inc Cl A,NYSE,Computers and Technology,3482380000
EVR,Evercore Partners Inc,NYSE,Finance,4473361000
HUYA,Huya Inc ADR,NYSE,Computers and Technology,649931000
COKE,Coca Cola Bot Cons,NASDAQ,Consumer Staples,4609986000
SATL,Satellogic Inc Cl A,NASDAQ,Computers and Technology,449658000
CIM,Chimera Investment Corp,NYSE,Finance,1587515000
CLVT,Clarivate Analytics Plc,NYSE,Computers and Technology,6600311000
TDY,Teledyne Technologies Inc,NYSE,Aerospace,19690504000
SWKS,Skyworks Solutions,NASDAQ,Computers and Technology,15314595000
HZNP,Horizon Therapeutics,NASDAQ,Medical,22727820000
EE,Excelerate Energy Inc Cl A,NYSE,Oils-Energy,3070708000
GIII,G-III Apparel Gp,NASDAQ,Consumer Staples,1027144000
NKLA,Nikola Corp,NASDAQ,Auto-Tires-Trucks,1254590000
DIN,Dineequity Inc,NYSE,Retail-Wholesale,1169422000
USM,United States Cellular Corp,NYSE,Utilities,1811820000
CAJ,Canon Inc ADR,NYSE,Computers and Technology,24429236000
CBD,Companhia Brasileira DE Distribuicao ADR,NYSE,Retail-Wholesale,1050875000
AUPH,Aurinia Pharm Ord,NASDAQ,Medical,729024000
GDS,Gds Holdings Ltd ADR,NASDAQ,Business Services,2971678000
APLE,Apple Hospitality REIT Inc,NYSE,Finance,3902526000
RYI,Ryerson Holding Corp,NYSE,Basic Materials,1091513000
BKR,Baker Hughes A Ge Co. Cl A,NASDAQ,Oils-Energy,29265742000
WEX,Wex Inc,NYSE,Business Services,7373319000
NYMT,New York Mtge Trust,NASDAQ,Finance,1042687000
OR,Osisko Gold Royalties Ltd,NYSE,Basic Materials,2317365000
VAC,Marriot Vacations Worldwide Cor,NYSE,Consumer Discretionary,5708912000
HCC,Warrior Met Coal Inc,NYSE,Oils-Energy,1901900000
MNKD,Mannkind Corp,NASDAQ,Medical,1231757000
MFG,Mizuho Financial Group ADR,NYSE,Finance,31351278000
FSLY,Fastly Inc,NYSE,Computers and Technology,1188180000
FSP,Franklin Street Properties,NYSE Arca,Finance,301449000
TWI,Titan International,NYSE,Industrial Products,900555000
ESTE,Earthstone Energy,NYSE,Oils-Energy,2212516000
GBX,Greenbrier Companies,NYSE,Transportation,1258539000
BCO,Brink's Company,NYSE,Business Services,2775388000
EBAY,Ebay Inc,NASDAQ,Retail-Wholesale,24658424000
HAIN,Hain Celestial Group,NASDAQ,Consumer Staples,1673744000
ERJ,Embraer-Empresa Brasileira DE Aeronautica ADR,NYSE,Aerospace,1950331000
BOOM,Dynamic Materials,NASDAQ,Industrial Products,359157000
OFC,Corporate Office Properties,NYSE,Finance,3121987000
IRWD,Ironwood Pharmaceuti,NASDAQ,Medical,1857614000
COIN,Coinbase Global Inc Cl A,NASDAQ,Finance,10379155000
IMO,Imperial Oil Ltd,NYSE Arca,Oils-Energy,34506236000
BIO,Bio-Rad Laboratories,NYSE,Medical,12368306000
SBSI,Southside Bancshares,NASDAQ,Finance,1166695000
SHO,Sunstone Hotel Investors,NYSE,Finance,2312296000
FMS,Fresenius Medical Care Corp ADR,NYSE,Medical,9154179000
EXP,Eagle Materials Inc,NYSE,Construction,5023447000
GPI,Group 1 Automotive,NYSE,Retail-Wholesale,2819091000
HOLX,Hologic Inc,NASDAQ,Medical,18722718000
APP,Applovin Corp Cl A,NASDAQ,Business Services,5356053000
BILI,Bilibili Inc ADR,NASDAQ,Computers and Technology,6780903000
CAR,Avis Budget Group,NASDAQ,Business Services,9271795000
PUMP,Propetro Holding Corp,NYSE,Oils-Energy,1257803000
TTI,Tetra Technologies,NYSE,Oils-Energy,490042000
SITC,Site Centers Corp,NYSE,Finance,2888038000
SSD,Simpson Manufacturing Company,NYSE,Construction,3963743000
AKO.A,Embotell Andina Sa Cl A ADR,NYSE,Consumer Staples,1419858000
VST,Vistra Energy Corp,NYSE,Utilities,9682196000
SLAB,Silicon Labs Inc,NASDAQ,Computers and Technology,4840680000
BZ,Kanzhun Ltd ADR,NASDAQ,Computers and Technology,6849125000
SR,Spire Inc,NYSE,Utilities,3890250000
REI,Ring Energy Inc,NYSE Arca,Oils-Energy,470910000
BMA,Banco Macro S.A. ADR,NYSE,Finance,929063000
ECL,Ecolab Inc,NYSE,Basic Materials,42675780000
MTZ,Mastec Inc,NYSE,Construction,7105995000
JWN,Nordstrom,NYSE,Retail-Wholesale,3336998000
TUYA,Tuya Inc ADR,NYSE,Computers and Technology,593985000
ESMT,Engagesmart Inc,NYSE,Computers and Technology,2808230000
PSNY,Gores Guggenheim Inc Unit Cl A,NASDAQ,Auto-Tires-Trucks,15758180000
OZ,Belpointe Prep Llc Cl A Units,NYSE Arca,Finance,353673000
NTR,Nutrien Ltd,NYSE,Basic Materials,42075496000
SXC,Suncoke Energy Inc,NYSE,Oils-Energy,705581000
SHW,Sherwin-Williams Company,NYSE,Construction,64573248000
LAZR,Luminar Technologies Inc,NASDAQ,Auto-Tires-Trucks,2778726000
DAR,Darling International Inc,NYSE,Consumer Staples,11512266000
BY,Byline Bancorp Inc,NYSE,Finance,854716000
BERY,Berry Global Group,NYSE,Industrial Products,7272260000
V,Visa Inc,NYSE,Business Services,4.08718E+11
CNOB,Connectone Bancorp,NASDAQ,Finance,1029736000
REX,Rex American Resources Corp,NYSE,Oils-Energy,520556000
ALGN,Align Technology,NASDAQ,Medical,15361505000
MKTW,Marketwise Inc,NASDAQ,Business Services,617435000
GGAL,Grupo Fin Galicia ADR,NASDAQ,Finance,1194499000
ESRT,Empire State Realty Trust Inc,NYSE,Finance,1244556000
ODV,Osisko Dev Corp,NYSE,Basic Materials,356236000
QFIN,360 Finance Inc ADR,NASDAQ,Business Services,2388442000
FYBR,Frontier Communications Parent Inc,NASDAQ,Computers and Technology,6313753000
FRSH,Freshworks Inc Cl A,NASDAQ,Computers and Technology,4255413000
SKIL,Skillsoft Corp,NYSE,Business Services,315723000
ELME,Elme Communities,NYSE,Finance,1729336000
CTRA,Coterra Energy Inc,NYSE,Oils-Energy,22006112000
SHBI,Shore Bancshares Inc,NASDAQ,Finance,395214000
EQIX,Equinix Inc,NASDAQ,Finance,63911376000
INN,Summit Hotel Properties,NYSE,Finance,913961000
AAN,Aarons Holdings Company,NYSE,Consumer Discretionary,375208000
VLY,Valley National Bancorp,NASDAQ,Finance,6410480000
VCSA,Vacasa Inc Cl A,NASDAQ,Business Services,687772000
DVA,Davita Healthcare Partners Inc,NYSE,Medical,6643073000
NTST,Netstreit Corp,NYSE,Finance,1071728000
YEXT,Yext Inc,NYSE,Business Services,657914000
SNV,Synovus Financial Corp,NYSE,Finance,6128146000
OVV,Ovintiv Inc,NYSE,Oils-Energy,13896506000
FAST,Fastenal Company,NASDAQ,Retail-Wholesale,29502868000
PLL,Piedmont Lithium Inc ADR,NASDAQ,Basic Materials,1038457000
DJCO,Daily Journal Cp,NASDAQ,Consumer Staples,378672000
AZEK,The Azek Company Cl A,NYSE,Construction,2998493000
KIM,Kimco Realty Corp,NYSE,Finance,14175126000
ELP,Companhia Paranaense DE Energia [Copel] ADR,NYSE,Utilities,4137671000
UMC,United Microelectronics Corp ADR,NYSE,Computers and Technology,18733884000
BIDU,Baidu Inc ADR,NASDAQ,Computers and Technology,37525860000
WB,Weibo Corp ADR,NASDAQ,Computers and Technology,3770655000
MTN,Vail Resorts,NYSE,Consumer Discretionary,10373967000
BBU,Brookfield Business Partners LP,NYSE,Business Services,1414625000
PLUS,Eplus Inc,NASDAQ,Computers and Technology,1336201000
TIGR,Up Fintech Holding Ltd ADR,NASDAQ,Finance,855369000
THRD,Third Harmonic Bio Inc,NASDAQ,Medical,790627000
HPK,Highpeak Energy Inc,NASDAQ,Oils-Energy,2619263000
BKKT,Bakkt Hldgs Inc,NYSE,Business Services,467342000
SHEL,Royal Dutch Shell Plc ADR,NYSE,Oils-Energy,2.10334E+11
HGV,Hilton Grand Vacations Inc,NYSE,Consumer Discretionary,5064853000
ARCE,Arco Platform Ltd Cl A,NASDAQ,Computers and Technology,513933000
LFUS,Littelfuse Inc,NASDAQ,Computers and Technology,6102105000
PUBM,Pubmatic Inc Cl A,NASDAQ,Computers and Technology,823709000
AVNT,Avient Corp,NYSE,Basic Materials,3147572000
BL,Blackline Inc,NASDAQ,Computers and Technology,4046305000
DD,Dupont Denemours Inc,NYSE,Basic Materials,35028592000
XP,XP Inc Cl A,NASDAQ,Finance,9797703000
ASH,Ashland Inc,NYSE,Basic Materials,6057536000
BRSP,Brightspire Capital Inc,NYSE,Finance,920810000
DNA,Ginkgo Bioworks Hldgs Inc,NYSE,Medical,3860560000
RRC,Range Resources Corp,NYSE,Oils-Energy,6976003000
NEGG,Newegg Commerce Inc,NASDAQ,Retail-Wholesale,672889000
COUP,Coupa Software Inc,NASDAQ,Computers and Technology,4801814000
MAN,Manpower Inc,NYSE,Business Services,4424748000
ARCO,Arcos Dorados Holdings Inc,NYSE,Retail-Wholesale,1576480000
DCBO,Docebo Inc,NASDAQ,Computers and Technology,1049574000
LASR,Nlight Inc,NASDAQ,Computers and Technology,492034000
WFG,West Fraser Timber L,NYSE,Basic Materials,6491466000
STR,Sitio Royalties Corp,NYSE,Oils-Energy,2644345000
SHOO,Steven Maddens Ltd,NASDAQ,Consumer Staples,2690079000
TROX,Tronox Inc,NYSE,Basic Materials,2182591000
MHK,Mohawk Industries,NYSE,Consumer Discretionary,6437901000
TTM,Tata Motors Ltd ADR,NYSE,Auto-Tires-Trucks,20907240000
HOUS,Anywhere Real Estate Inc,NYSE,Finance,826574000
TSN,Tyson Foods,NYSE,Consumer Staples,23833558000
SPTN,Spartannash Company,NASDAQ,Retail-Wholesale,1158784000
ORI,Old Republic International Corp,NYSE,Finance,7455448000
ATR,Aptargroup,NYSE,Industrial Products,6929243000
INTR,Inter Cl A,NASDAQ,Business Services,559879000
RPAY,Repay Holdings Corp Cl A,NASDAQ,Business Services,803505000
CTO,Cto Realty Growth Inc,NYSE,Finance,394236000
CXW,Corecivic Inc,NYSE,Finance,1526948000
ZGN,Ermenegildo Zegna N.V.,NYSE,Retail-Wholesale,552940000
PRO,Pros Holdings,NYSE,Computers and Technology,1079570000
MIR,Mirion Technologies Inc,NYSE,Business Services,1328023000
M,Macy's Inc,NYSE,Retail-Wholesale,6368288000
CMS,Cms Energy Corp,NYSE,Utilities,17725690000
RERE,Aihuishou International Co. Ltd ADR,NYSE,Business Services,432706000
CIVI,Civitas Resources Inc,NYSE,Oils-Energy,5733077000
SEAT,Vivid Seats Inc Cl A,NASDAQ,Business Services,1556069000
QTRX,Quanterix Corp,NASDAQ,Medical,492832000
E,Eni S.P.A. ADR,NYSE,Oils-Energy,53380820000
CENTA,Central Garden & Pet,NASDAQ,Consumer Discretionary,2124470000
SF,Stifel Financial Corp,NYSE,Finance,6828554000
CMS,Cms Energy Corp,NYSE,Utilities,17725690000
CIVI,Civitas Resources Inc,NYSE,Oils-Energy,5733077000
IDCC,Interdigital Inc,NASDAQ,Computers and Technology,1488193000
CRK,Comstock Resources,NYSE,Oils-Energy,4289460000
TREX,Trex Company,NYSE,Construction,5035876000
GSK,Gsk Plc ADR,NYSE,Medical,70344888000
NWLI,Natl Wstrn Life Gp A,NASDAQ,Finance,766467000
ANDE,Andersons Inc,NASDAQ,Basic Materials,1289865000
GNTX,Gentex Corp,NASDAQ,Auto-Tires-Trucks,6779420000
AIZ,Assurant Inc,NYSE,Finance,6773991000
ASPN,Aspen Aerogels Inc,NYSE,Construction,493363000
HMN,Horace Mann Educators Corp,NYSE,Finance,1578254000
RTX,Raytheon Technologies Corp,NYSE,Aerospace,1.45124E+11
TRGP,Targa Resources,NYSE,Oils-Energy,16840036000
VZ,Verizon Communications Inc,NYSE,Utilities,1.63709E+11
TGI,Triumph Group,NYSE,Aerospace,744261000
BCC,Boise Cascade L.L.C.,NYSE,Construction,2920730000
WRK,Westrock Company,NYSE,Basic Materials,9649274000
USER,Usertesting Inc,NYSE,Computers and Technology,1073771000
MEOH,Methanex Cp,NASDAQ,Basic Materials,2727189000
RHI,Robert Half International Inc,NYSE,Business Services,8547551000
VTNR,Vertex Energy,NASDAQ,Industrial Products,627296000
WDAY,Workday Inc,NASDAQ,Computers and Technology,42982400000
AMYT,Amryt Pharma Plc ADR,NASDAQ,Medical,455417000
TG,Tredegar Corp,NYSE,Basic Materials,351570000
FRST,Primis Financial Corp,NASDAQ,Finance,304600000
LOVE,The Lovesac Company,NASDAQ,Retail-Wholesale,395543000
UNFI,United Nat Foods,NYSE,Consumer Staples,2856175000
ITCI,Intra-Cellular Ther,NASDAQ,Medical,5134906000
SCVL,Shoe Carnival Inc,NASDAQ,Retail-Wholesale,729286000
SPLP,Steel Partners Hlds,NYSE,Conglomerates,931122000
CENX,Century Aluminum C,NASDAQ,Basic Materials,823037000
FATH,Fathom Digital Manufacturing Corp,NYSE,Basic Materials,329710000
RELY,Remitly Global Inc,NASDAQ,Business Services,1785146000
MIR,Mirion Technologies Inc,NYSE,Business Services,1328023000
M,Macy's Inc,NYSE,Retail-Wholesale,6368288000
BIG,Big Lots,NYSE,Retail-Wholesale,564369000
PTON,Peloton Interactive Inc,NASDAQ,Consumer Discretionary,3869815000
WEST,Westrock Coffee Company,NASDAQ,Consumer Staples,912195000
PRO,Pros Holdings,NYSE,Computers and Technology,1079570000
RERE,Aihuishou International Co. Ltd ADR,NYSE,Business Services,432706000
KARO,KaroOOOO Ltd,NASDAQ,Computers and Technology,545050000
